Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-15,Safe,2012,https://boxd.it/97CWgn,3,,"Ein sehr typischer Film von Jason Statham. Action, Geheimagent der krass ist, Bandenkriege usw. Also das was man von einem Jason Statham Film erreicht. Sogar würde ich soweit gehen und sagen das es so ein typischer Film von dem, dass dieser fast nicht zu unterscheiden ist von seinen anderen. Macht trotzdem spaß anzugucken.
",,2025-03-14
2025-03-15,Greenland,2020,https://boxd.it/97CWEp,2,,"Wenn man von Weltuntergang klishees gehört hat, wird man diese in dem Film wieder finden. Nichts origineles was man nicht schon andere hunderte male gesehen hat. Wenn man aber undebdingt ein 0815 Disaster Film schauen möchte ohne zu sehr auf qualität zu achten, kann man sich diesen angucken
",,2025-03-14
2025-03-15,War,2007,https://boxd.it/97CX5F,3.5,,"Man rechnet mit einem typischen Jason Statham film, dieser dreht sich aber in komplett andere richtung, insbesondere beim Plottwist. Sehr cooler Film mit richtig coolen Action Szenen. Gucken lohnt sich.
",,2025-03-14
2025-03-15,Spy,2015,https://boxd.it/97CXwr,4,,"Ein absoluter Hammer Film! Action Szenen im Agenten Stil mit sehr guter verarbeiteter Komödie. Super guter Film den ich nur empfehlen kann!
",,2025-03-14
2025-03-15,Faster,2010,https://boxd.it/97CXRz,2,,"Ein gutes premise, leider nicht so ganz gut ausgeführt. Dieser Film hat zu sehr versucht einen typischen Film in richtung equalizer nachzumachen, was nicht so ganz gut gelingt. Story ist auch insgesamt zum einschlafen.
",,2025-03-14
2025-03-15,Countdown,2019,https://boxd.it/97CYbp,2.5,,"Startet super cool, aber wird genauso schnell auch langweilig/uninteressant. Man hätte aus der Idee so viel mehr machen können. Meine Meinung nach, ein verpasste chance auf einen super guten film.
",,2025-03-14
2025-03-15,Pitch Black,2000,https://boxd.it/97CYOL,4,,Ich musste einfach einen Klassiker von Vin Diesel nehmen. Absoluter Must-Watch film für alle SciFi/Thriller Liebhaber.(Fun Fact: So in etwas hab ich mir Black Adam vorgestellt),,2025-03-14
2025-03-15,Project Wolf Hunting,2022,https://boxd.it/97D0GJ,2.5,,"Man kann eigentlich nicht viel zu dem Film sagen. Es ist halt ein Anime im Filmformat mit einem offenem Ende(Was sehr sehr üblich ist bei koreanischen filmen). Die story ist so/so, eigentlich nichts besonderes. Dieser Film ist sehr cool für Leute die unbedingt einen Splatter Film gucken, den davon hat man hier mehr als genug
",,2025-03-14
2025-03-15,Ad Astra,2019,https://boxd.it/97D1dN,3,,"An sich eigentlich ganz guter Film, wo das meiste Dialog als ein Monolog geführt wird. Kaum Action-Szenen, sondern viel zum mitverfolgen und mitdenken (Kein wissenschaftliches Denken, sondern eher menschliche Gefühle). Ende von dem Film ist mMn. nicht so ausgereift gewesen und man könnte etwas mehr machen. Ich denke wenn man etwas schauen möchte was einem zum nachdenken bringt über sich selber, kann man das gucken, ansonsten kann man es auch lassen.
",,2025-03-14
2025-03-15,Ninja Assassin,2009,https://boxd.it/97D1DV,3,,"Hitman, aber mit ninjas und mehr blut. Ganz lustig anzuschauen, paar richtig coole choreo szenen und allgemein ein solider film. Gut anzugucken wenn man bock auf Overpowered Ninjas steht
",,2025-03-14
2025-03-15,2 Guns,2013,https://boxd.it/97D26D,4,,"Sehr cooler Film wo die beiden Hauptdarsteller richtig gut zusammen passen. Hier geht es um kartele, CIA, DEA und der ganze kram mit dazu mit verrat usw. Angucken kann man definitiv!",,2025-03-14
2025-03-15,Extraction 2,2023,https://boxd.it/97D2sJ,4,,"Absoluter hammer film mit einer der besten actionszenen die man seit langer zeit gesehen hat. Diesmal bekommt man auch etwas mehr von den charakteren mit.Viel zu dem Film möchte ich nicht schreiben, man muss es erleben. Definitiv gucken! Leider in meinen Augen ist das ende etwas schwächer gewesen als der rest des Films womit die bewertung auf eine 8 landet.
",,2025-03-14
2025-03-15,The Accountant,2016,https://boxd.it/97D2PD,3,,"Wie man so lustig sagt :"" Weaponized Autismus"". Der ansatz ganz cool, jemand der stark ausgeprägten autismus hat ist gleichzeitig eine art von Racheengel. Ganz ok, leider für mein geschmack passiert zu wenig in dem ganzen film. Trotzdem das vibe von einer Krimiserie + Spy action ist ganz cool hier aufgefangen.
",,2025-03-14
2025-03-15,Malignant,2021,https://boxd.it/97D3eN,1,,"Absoluter Reinfall. Lieber schaut man sich einen B-Studentenfilm an anstelle von diesem Film.
",,2025-03-14
2025-03-18,2001: A Space Odyssey,1968,https://boxd.it/99Kz3f,2,,"Zur seiner Zeit war dieser Film wahrscheinlich Revolutionär. Gerademal wenn es um die realistischen Effekte sowie das der Film von einem praktisch verlangt mitzudenken. Heutzutage, leider nicht mehr so gut in meinen Augen. Man hat es gerne wenn es offene Enden gibt und Sachen mitzudenken, aber dieser Film hat NUR was zum nachdenken da. Das ganze Dialog lässt sich wahrscheinlich auf 2 DINA4 Blätter verpacken.
Ich kann verstehen warum dieser Film so angesehen wird, aber leider nichts für mich",,2025-03-17
2025-03-19,Mickey 17,2025,https://boxd.it/9akVcb,2.5,,"So ein guter Promise, so eine mittelmässige Ausführung. Leider eine Enttäuschung. Auch sehr viele Inkonsistenzen im Film. Mark Rufallo als der verrückte Religionstyp hat auch nicht so überzeugt. Kann man definitiv überspringen",,2025-03-18
2025-03-26,Mile 22,2018,https://boxd.it/9eiFZj,1.5,,"Extraction aber viel schlechter. Errinert sehr stark an eine Story die glatt von call of duty entstammen könnte :D. Iko Uwais hingegen, fand ich sehr nice wie er die Rolle gespielt hat.",,2025-03-25
2025-04-14,The Matrix Resurrections,2021,https://boxd.it/9oTzEt,2.5,,"Also haben wir nun hipster smith, jackass neobe und digitalen Morpheus und neo ist ne bitch??? 2 Stunden für ein Liebesdrama. Der Analytiker ist auch nicht so meins. Allgemein, fühlt sich Teil 4, nachdem man die anderen 3 Teile kennt, nicht gut an. Schade eigentlich....",,2025-04-13
2025-04-19,Sinister,2012,https://boxd.it/9rBll9,4.5,,"Man muss diesen Film geschaut haben als ein Horror-Film Liebhaber. Eine Mischung aus True Crime + Horror. Sehr sehr gut gemacht, viele Spannende Momente. Solange man sich diesen Film anschaut, und nicht die fortsetzungen, ist man gut aufgehoben",,2025-04-18
2025-04-19,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/9rBn0R,4.5,,"Was kann man dazu sagen, Leslie Nielsen in seinem Meisterwerk! Absolut ""Kneeslapper"" Komödie, die jeder mal geschaut haben muss!",,2025-04-18
2025-04-19,The Naked Gun 2½: The Smell of Fear,1991,https://boxd.it/9rBoaX,3.5,,"Etwas schwächer als Teil 1, aber nichts destrotrotz immernoch hervoragend! Ein Kopf aus, und sich das anschauen!",,2025-04-18
2025-05-24,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9MKd0p,4.5,,"peak. Mehr kann man nicht sagen.

Startet etwas langsam und teilweise auch verwirrend, aber steigt in Action mega ran. Die stunts von Cruise sind sehr krass wie immer. Ein richtig cooler action-movie flick. Schauen lohnt sich!",,2025-05-24
2025-06-18,Warfare,2025,https://boxd.it/a2ll8l,4,,"Sound Design is phenomenal. Genauso wie die Choreografie.Es ist teilweise beängstigend wie real das aussieht. Ist KEIN schlechter Film, aber auch nichts weltbewegendes.Schauen lohnt sich, wenn man sowas mag.

Habe auch gelesen das praktisch der ganze Film als 1 Szene gedreht wurde ist. Absolut wow, hat soviel zu Spannung hinzugefügt.",,2025-06-17
2025-06-22,Total Recall,1990,https://boxd.it/a4EzYL,4.5,,Das ist wortwörtlich peak 90s Sci-Fi. ,,2025-06-21
2025-07-02,The Running Man,1987,https://boxd.it/abomLP,3,,"Squid games aber es ist 1980. Wenn man Lust auf old-school Sci-Fi mit Arnie hat, mit den coolen Sprüchen und classic 80s scifi vibe, ist man hier gut aufgehoben",,2025-07-01
2025-07-03,Commando,1985,https://boxd.it/ac2VU3,4,,"Holy fuck, Da kann sich Jason Statham, Vin Diesel, Dwayne usw alle noch eine Scheibe von abschneiden. Das ist peak 80s Action Film. Over the Top, Arnies Lines, Explosionen und noch mehr Explosionen. Perfekt.",,2025-07-02
2025-07-04,Demolition Man,1993,https://boxd.it/acI6Od,4.5,,"Absoluter hammer Film. Top Lines, coole, leichte Story, Wesley Snipes UND Stallone in einem Film??? Das alles zusammen genommen ist so ein guter Sci-Fi/Action Film, es ist in meinen Augen ein must-watch.",,2025-07-03
